dataset,model,seed,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,rand_score
cora,MLP,220,0.7069389388951922,0.7070288971032217,0.7069389388951922,0.7090478377983352,0.6572268508038643,0.7069389388951922,0.7069389388951922,0.6724858846593859,0.7069389388951922,0.7013484040510032,0.7895918399641173
cora,GCN+Smooth,220,0.7008533414610025,0.6954821981519667,0.7008533414610025,0.7016051798362446,0.6503419334011621,0.7008533414610025,0.7008533414610025,0.6644955772489627,0.7008533414610025,0.6953676156997087,0.7909305105915567
cora,MLP,221,0.7182347285512035,0.7200056846039294,0.7182347285512035,0.7216616218836867,0.6720548058441332,0.7182347285512035,0.7182347285512035,0.6868006299321886,0.7182347285512035,0.713593784604059,0.7918836442965581
cora,GCN+Smooth,221,0.7103423685167871,0.7120862293994348,0.7103423685167871,0.7137063955975043,0.6663714479204224,0.7103423685167871,0.7103423685167871,0.6800201999001468,0.7103423685167871,0.7059333174317005,0.7932550545961318
citeseer,MLP,220,0.6810664525183796,0.6454692783889183,0.6810664525183796,0.6705140316116531,0.6266718176681264,0.6810664525183796,0.6810664525183796,0.6209430211902289,0.6810664525183796,0.6677417296831539,0.8054979230408957
citeseer,GCN+Smooth,220,0.6744197513412878,0.6313494934543883,0.6744197513412878,0.6605987964835606,0.6186915927390222,0.6744197513412878,0.6744197513412878,0.6118706943981764,0.6744197513412878,0.660658663927651,0.8091312518511711
citeseer,MLP,221,0.6872326619528458,0.6566724051946302,0.6872326619528458,0.6779342107145877,0.6344190692721484,0.6872326619528458,0.6872326619528458,0.6308687179683977,0.6872326619528458,0.6750153054270123,0.8081866987074268
citeseer,GCN+Smooth,221,0.6753282869222723,0.6376197711453123,0.6753282869222723,0.664086820061891,0.6218397921910186,0.6753282869222723,0.6753282869222723,0.616522143579479,0.6753282869222723,0.6626336310144652,0.8032537019771603
mcc,MLP,220,0.8247940170513925,0.7472265453554129,0.8247940170513925,0.8239281431461654,0.5728334776883146,0.8247940170513925,0.8247940170513925,0.5809972814771202,0.8247940170513925,0.8158211222717585,0.6865868442859593
mcc,GCN+Smooth,220,0.8220294108918025,0.7356596275666841,0.8220294108918025,0.8217088107435054,0.5583462824680244,0.8220294108918025,0.8220294108918025,0.5811282505878409,0.8220294108918025,0.813567182884378,0.7238066868155364
mcc,MLP,221,0.8275527367832713,0.7058590911333577,0.8275527367832713,0.8245752347379313,0.5537425467346357,0.8275527367832713,0.8275527367832713,0.562284289468303,0.8275527367832713,0.8184378440948052,0.6769652999741494
mcc,GCN+Smooth,221,0.8276285284162778,0.7558916888074552,0.8276285284162778,0.8278711351283025,0.5799453031076592,0.8276285284162778,0.8276285284162778,0.598670622990544,0.8276285284162778,0.8194927808216873,0.7144796445681401
