dataset,model,seed,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,rand_score
cora,MLP,220,0.7069389388951922,0.7070288971032217,0.7069389388951922,0.7090478377983352,0.6572268508038643,0.7069389388951922,0.7069389388951922,0.6724858846593859,0.7069389388951922,0.7013484040510032,0.7917232744692217
cora,GCN+Smooth,220,0.7008533414610025,0.6954821981519667,0.7008533414610025,0.7016051798362446,0.6503419334011621,0.7008533414610025,0.7008533414610025,0.6644955772489627,0.7008533414610025,0.6953676156997087,0.7938984982858053
cora,MLP,221,0.7182347285512035,0.7200056846039294,0.7182347285512035,0.7216616218836867,0.6720548058441332,0.7182347285512035,0.7182347285512035,0.6868006299321886,0.7182347285512035,0.713593785,0.7966032317330364
cora,GCN+Smooth,221,0.7103423685167871,0.7120862293994348,0.7103423685167871,0.7137063955975043,0.6663714479204224,0.7103423685167871,0.7103423685167871,0.6800201999001468,0.7103423685167871,0.7059333174317005,0.7922285567424899
cora,MLP,222,0.7104052707063505,0.7083389531404809,0.7104052707063505,0.7128756304519372,0.6643639031937572,0.7104052707063505,0.7104052707063505,0.678713248,0.7104052707063505,0.7058697117379197,0.7934532387447828
cora,GCN+Smooth,222,0.7038930085872867,0.7057635112484307,0.7038930085872867,0.7067996181460904,0.6580621522935874,0.7038930085872867,0.7038930085872867,0.6738856412305376,0.7038930085872867,0.6995208208282494,0.7976472998773899
cora,MLP,223,0.7018681221065165,0.7027974056927627,0.7018681221065165,0.7047154897748159,0.6572020082403601,0.7018681221065165,0.7018681221065165,0.6718310367370144,0.7018681221065165,0.6974251131646994,0.7902748986570731
cora,GCN+Smooth,223,0.7028223972653975,0.6987066524022498,0.7028223972653975,0.7048935446504293,0.6537598694233725,0.7028223972653975,0.7028223972653975,0.6679839134757509,0.7028223972653975,0.6980427749467188,0.7928768568168636
cora,MLP,224,0.7136558107356362,0.7191959346345541,0.7136558107356362,0.7169829787243631,0.6727287191142106,0.7136558107356362,0.7136558107356362,0.687760173,0.7136558107356362,0.7094508510528859,0.7830765360772088
cora,GCN+Smooth,224,0.7077051529504117,0.7055510931828587,0.7077051529504117,0.7095833677981889,0.6643184870753346,0.7077051529504117,0.7077051529504117,0.6777170318617346,0.7077051529504117,0.7032815300204907,0.7990223388239582
citeseer,MLP,220,0.6810664525183796,0.6454692783889183,0.6810664525183796,0.6705140316116531,0.6266718176681264,0.6810664525183796,0.6810664525183796,0.6209430211902289,0.6810664525183796,0.6677417296831539,0.8062745758903495
citeseer,GCN+Smooth,220,0.6742622467529167,0.6312853175321593,0.6742622467529167,0.6604964227421798,0.6185649302510481,0.6742622467529167,0.6742622467529167,0.6117768770285329,0.6742622467529167,0.6605252481187223,0.8043425370270668
citeseer,MLP,221,0.6872326619528458,0.6566724051946302,0.6872326619528458,0.6779342107145877,0.6344190692721484,0.6872326619528458,0.6872326619528458,0.6308687179683977,0.6872326619528458,0.6750153054270123,0.8080072171957916
citeseer,GCN+Smooth,221,0.6752582092211619,0.6373907581114615,0.6752582092211619,0.6639807820030739,0.6217329386410786,0.6752582092211619,0.6752582092211619,0.616391978,0.6752582092211619,0.6625591552747315,0.796231362
citeseer,MLP,222,0.6859612952821853,0.6519639392109181,0.6859612952821853,0.6750881720499443,0.630684007,0.6859612952821853,0.6859612952821853,0.6250702545864127,0.6859612952821853,0.6720363546246868,0.8129131485299332
citeseer,GCN+Smooth,222,0.6772437052031044,0.6415400481534002,0.6772437052031044,0.6662540943290184,0.6251644320091876,0.6772437052031044,0.6772437052031044,0.6191775427996321,0.6772437052031044,0.6639852016486594,0.8126715114455255
citeseer,MLP,223,0.6848089767988087,0.6586540146808693,0.6848089767988087,0.6770540582284842,0.6321412427756372,0.6848089767988087,0.6848089767988087,0.6281392897136336,0.6848089767988087,0.6717725509607322,0.8045290766979342
citeseer,GCN+Smooth,223,0.6832301168218208,0.6463070282058303,0.6832301168218208,0.67150524,0.6265526924992397,0.6832301168218208,0.6832301168218208,0.620297523,0.6832301168218208,0.6690011261575464,0.817217659
citeseer,MLP,224,0.6803110442260211,0.6512568865270433,0.6803110442260211,0.6719032813747045,0.6277445779954741,0.6803110442260211,0.6803110442260211,0.6239312615947769,0.6803110442260211,0.6681144998914438,0.8071708709221348
citeseer,GCN+Smooth,224,0.6754379197683622,0.6350966896246616,0.6754379197683622,0.6628250814656445,0.619894954,0.6754379197683622,0.6754379197683622,0.6128021271142488,0.6754379197683622,0.6613743471397007,0.7950400290642959
mcc,MLP,220,0.8247940170513925,0.7472265453554129,0.8247940170513925,0.8239281431461654,0.5728334776883146,0.8247940170513925,0.8247940170513925,0.5809972814771202,0.8247940170513925,0.8158211222717585,0.7123115875328265
mcc,GCN+Smooth,220,0.8220294108918025,0.7356596275666841,0.8220294108918025,0.8217088107435054,0.5583462824680244,0.8220294108918025,0.8220294108918025,0.5811282505878409,0.8220294108918025,0.813567183,0.6963745080559239
mcc,MLP,221,0.8275527367832713,0.7058590911333577,0.8275527367832713,0.8245752347379313,0.5537425467346357,0.8275527367832713,0.8275527367832713,0.562284289,0.8275527367832713,0.8184378440948052,0.6704501605386561
mcc,GCN+Smooth,221,0.8276285284162778,0.7558916888074552,0.8276285284162778,0.8278711351283025,0.5799453031076592,0.8276285284162778,0.8276285284162778,0.598670623,0.8276285284162778,0.8194927808216873,0.709603087
mcc,MLP,222,0.8248139517509016,0.7415535519916489,0.8248139517509016,0.8249543610245177,0.5699124534314541,0.8248139517509016,0.8248139517509016,0.5885359508223931,0.8248139517509016,0.8159004490707349,0.7164759288653093
mcc,GCN+Smooth,222,0.8238081393159183,0.729201874,0.8238081393159183,0.8236727796622303,0.5721194434319788,0.8238081393159183,0.8238081393159183,0.58777162,0.8238081393159183,0.8160673975337391,0.7127651545350661
mcc,MLP,223,0.8212190612334419,0.7260922423102038,0.8212190612334419,0.8194715330194584,0.5662832171811494,0.8212190612334419,0.8212190612334419,0.5862411258750408,0.8212190612334419,0.8131367383696528,0.7258399831851159
mcc,GCN+Smooth,223,0.8191630469810376,0.6986441520589752,0.8191630469810376,0.8165519676673773,0.5478142249613787,0.8191630469810376,0.8191630469810376,0.5649644041712766,0.8191630469810376,0.8103947350529295,0.7069013019455497
mcc,MLP,224,0.8068983146448595,0.6892924291580202,0.8068983146448595,0.8044014849379902,0.5414465148333714,0.8068983146448595,0.8068983146448595,0.5522695373005416,0.8068983146448595,0.797512844,0.6806372744425842
mcc,GCN+Smooth,224,0.8083304948840797,0.7089504580576163,0.8083304948840797,0.8076131209842676,0.5454120045158583,0.8083304948840797,0.8083304948840797,0.5609256642526129,0.8083304948840797,0.7991440024220744,0.6826021999473326
