dataset,model,seed,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,rand_score,time_s
citeseer,MLP,220,0.6785590575295268,0.6455076501803947,0.6785590575295268,0.6688538214498387,0.6245815597035256,0.6785590575295268,0.6785590575295268,0.6191065071423376,0.6785590575295268,0.665286214559986,0.8026234831340998,41.83224964141846
citeseer,GCN+Smooth,220,0.693332046303702,0.6986614686942234,0.693332046303702,0.6977200149284531,0.6250537925394561,0.693332046303702,0.693332046303702,0.6052685452589807,0.693332046303702,0.6682783774130304,0.8054935823641586,39.19909906387329
citeseer,MLP,221,0.6836116155827592,0.6551093611798856,0.6836116155827592,0.6752303887621484,0.6320807345061142,0.6836116155827592,0.6836116155827592,0.6293130932585462,0.6836116155827592,0.6720493287472511,0.8035878793714992,42.282044410705566
citeseer,GCN+Smooth,221,0.6843395813303003,0.660188608259348,0.6843395813303003,0.6762224160042466,0.6164248561045805,0.6843395813303003,0.6843395813303003,0.594744779139272,0.6843395813303003,0.6582458036558001,0.8056625222322896,38.971012115478516
citeseer,MLP,222,0.6826511180001292,0.648795571649161,0.6826511180001292,0.6717604819104145,0.6275824020734478,0.6826511180001292,0.6826511180001292,0.6220607498825289,0.6826511180001292,0.6687716141641376,0.8067383717282606,42.439465045928955
citeseer,GCN+Smooth,222,0.6909072757557847,0.6853350722839066,0.6909072757557847,0.6911861410700999,0.6244386469126592,0.6909072757557847,0.6909072757557847,0.6031062341438952,0.6909072757557847,0.664745885434314,0.8140415785764624,39.35222840309143
citeseer,MLP,223,0.6836793986711605,0.6589040759327909,0.6836793986711605,0.6766114629009352,0.6316280946663457,0.6836793986711605,0.6836793986711605,0.6282436023615259,0.6836793986711605,0.6711111247581418,0.8091976386718551,41.63400602340698
citeseer,GCN+Smooth,223,0.6977776779144198,0.6888661381528068,0.6977776779144198,0.6970504597243334,0.6279047654585261,0.6977776779144198,0.6977776779144198,0.6065020436331126,0.6977776779144198,0.6714007503387499,0.819128377520693,39.3120219707489
citeseer,MLP,224,0.6794370518678008,0.6505758038370107,0.6794370518678008,0.6709912203205568,0.6266741665855107,0.6794370518678008,0.6794370518678008,0.6227818322277794,0.6794370518678008,0.6670979541676457,0.8069573388076927,41.806979179382324
citeseer,GCN+Smooth,224,0.6796748027385088,0.6263636343169383,0.6796748027385088,0.6587135635093556,0.6105879733765478,0.6796748027385088,0.6796748027385088,0.5880716752640539,0.6796748027385088,0.6528421195867724,0.8033878981932572,38.73594045639038
citeseer,MLP,225,0.681716638062836,0.6521130482490842,0.681716638062836,0.67337790125456,0.6281971654130095,0.681716638062836,0.681716638062836,0.6238436862712557,0.681716638062836,0.6691036175842925,0.8040389085131249,42.46842002868652
citeseer,GCN+Smooth,225,0.6905934022835081,0.6565472631719829,0.6905934022835081,0.6786873887708011,0.6207885750247466,0.6905934022835081,0.6905934022835081,0.599254425793078,0.6905934022835081,0.6647655639008545,0.8127719488690166,39.0704026222229
citeseer,MLP,226,0.6775902407020171,0.6409489220393709,0.6775902407020171,0.6659769092243876,0.6224050329003243,0.6775902407020171,0.6775902407020171,0.6160023761840399,0.6775902407020171,0.6636872607520053,0.7953015274804961,41.832266330718994
citeseer,GCN+Smooth,226,0.689937914842333,0.6788934195085594,0.689937914842333,0.6880493630618973,0.6210474217060578,0.689937914842333,0.689937914842333,0.5995485520611684,0.689937914842333,0.6641404183966634,0.8175438846065741,39.02980661392212
citeseer,MLP,227,0.6822741145349588,0.6505872411497269,0.6822741145349588,0.6735527711284531,0.6302424057323806,0.6822741145349588,0.6822741145349588,0.6264431667149404,0.6822741145349588,0.6704376379116166,0.8028400974937883,42.204848766326904
citeseer,GCN+Smooth,227,0.6961799768743534,0.6661456703946376,0.6961799768743534,0.6853240072163659,0.628309472949908,0.6961799768743534,0.6961799768743534,0.6060043082218578,0.6961799768743534,0.6694183932211585,0.8148199822871209,38.97181439399719
citeseer,MLP,228,0.6861008391547865,0.650618715516251,0.6861008391547865,0.6754020066919983,0.6307161697223724,0.6861008391547865,0.6861008391547865,0.6252392595067002,0.6861008391547865,0.672749739121091,0.7958877559357841,42.81386351585388
citeseer,GCN+Smooth,228,0.6860240068784669,0.6821004943803078,0.6860240068784669,0.687567626199069,0.6191220364297219,0.6860240068784669,0.6860240068784669,0.5991953235370767,0.6860240068784669,0.6609377285120265,0.802776063392848,39.014124631881714
citeseer,MLP,229,0.6801053787433639,0.6455503445967059,0.6801053787433639,0.6690518618307942,0.6267232608182872,0.6801053787433639,0.6801053787433639,0.6217895256193269,0.6801053787433639,0.6669388957627171,0.8088733463480683,41.52197313308716
citeseer,GCN+Smooth,229,0.6897660629522527,0.6605093033549789,0.6897660629522527,0.67869325746881,0.6200461913593451,0.6897660629522527,0.6897660629522527,0.5975318541022154,0.6897660629522527,0.6627609925641453,0.804146969478112,38.99944853782654
