dataset,model,seed,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,rand_score,time_s
dblp,MLP,220,0.9632249905981918,0.8263786410786192,0.9632249905981918,0.9620830509169254,0.8018513939175587,0.9632249905981918,0.9632249905981918,0.8127342588327812,0.9632249905981918,0.9624205011174348,0.9778809146504717,314.3583023548126
dblp,GCN+Smooth,220,0.9609627557259108,0.8182059870254001,0.9609627557259108,0.9594474194863696,0.788586717300709,0.9609627557259108,0.9609627557259108,0.8014720193672871,0.9609627557259108,0.9598864139006322,0.9766014789364054,301.213351726532
dblp,MLP,221,0.9603559206971121,0.8113890079479709,0.9603559206971121,0.9592118408197974,0.7877708484318278,0.9603559206971121,0.9603559206971121,0.7982947393144015,0.9603559206971121,0.9595658758805743,0.9783408395343194,319.2933340072632
dblp,GCN+Smooth,221,0.9633162503213631,0.8312143057042012,0.9633162503213631,0.9622027541052073,0.8025776125919284,0.9633162503213631,0.9633162503213631,0.8152812560365087,0.9633162503213631,0.9624985038210043,0.9778070210349179,302.17582273483276
dblp,MLP,222,0.9626767699531915,0.8245060412394964,0.9626767699531915,0.9616573059852048,0.7989134518624438,0.9626767699531915,0.9626767699531915,0.8101267919318919,0.9626767699531915,0.9619124810193033,0.9761927923032511,315.0868036746979
dblp,GCN+Smooth,222,0.9633085053804974,0.8350254605131796,0.9633085053804974,0.9620704472429981,0.8029390932344834,0.9633085053804974,0.9633085053804974,0.817391698972574,0.9633085053804974,0.9624251265769362,0.9771545425424554,291.8782353401184
dblp,MLP,223,0.9612734475828835,0.8183620265980269,0.9612734475828835,0.9600574778530451,0.7922447704130914,0.9612734475828835,0.9612734475828835,0.8038388014990961,0.9612734475828835,0.9604215868078655,0.9802157148284424,328.3446865081787
dblp,GCN+Smooth,223,0.9620374177858735,0.8228741609624611,0.9620374177858735,0.9608621467338787,0.7958831481965718,0.9620374177858735,0.9620374177858735,0.8077349504684785,0.9620374177858735,0.9611840263463909,0.9789031014622601,292.34445881843567
dblp,MLP,224,0.9620479643466024,0.8177939336432354,0.9620479643466024,0.9609002712128396,0.7939480526320619,0.9620479643466024,0.9620479643466024,0.8042075681309755,0.9620479643466024,0.9612068407372448,0.9784304455337114,408.35338521003723
dblp,GCN+Smooth,224,0.9618501053468422,0.8247135754802508,0.9618501053468422,0.9604854203840065,0.7944273446594615,0.9618501053468422,0.9618501053468422,0.8079232274951486,0.9618501053468422,0.9609016947004362,0.9748026790613495,477.90566873550415
dblp,MLP,225,0.9610651759810016,0.8166738349616506,0.9610651759810016,0.9597834479627164,0.7903722991504316,0.9610651759810016,0.9610651759810016,0.8018888762695969,0.9610651759810016,0.9601515491954875,0.9782813574824617,544.5347487926483
dblp,GCN+Smooth,225,0.9585046382374371,0.8189404718097226,0.9585046382374371,0.9565236831867762,0.7792373318986033,0.9585046382374371,0.9585046382374371,0.7970991375491093,0.9585046382374371,0.9571723894566906,0.9595383351813183,490.7372269630432
dblp,MLP,226,0.9610928171857019,0.8180674317289599,0.9610928171857019,0.9597620589993223,0.7915107953142919,0.9610928171857019,0.9610928171857019,0.8035164576191876,0.9610928171857019,0.9602117798946657,0.9744536042690903,557.8688817024231
dblp,GCN+Smooth,226,0.961561566054064,0.8256678036272439,0.961561566054064,0.9601664849747813,0.7938432735125013,0.961561566054064,0.961561566054064,0.8083463061751324,0.961561566054064,0.9606195765531869,0.972667781246866,497.61239790916443
dblp,MLP,227,0.9625160849721865,0.8195673748096252,0.9625160849721865,0.9615212497564146,0.7989186944326349,0.9625160849721865,0.9625160849721865,0.807926259722856,0.9625160849721865,0.9617974452272695,0.9825520027462071,549.2746806144714
dblp,GCN+Smooth,227,0.9614272072895557,0.8202149422799203,0.9614272072895557,0.9601209671773869,0.7933239419594892,0.9614272072895557,0.9614272072895557,0.8052535473385942,0.9614272072895557,0.9605130376156416,0.977132619914347,386.13231110572815
dblp,MLP,228,0.9631101610829211,0.8262441907510993,0.9631101610829211,0.96201737952466,0.8014144368352165,0.9631101610829211,0.9631101610829211,0.8124577174669158,0.9631101610829211,0.9623376475377285,0.977797303263903,495.0823917388916
dblp,GCN+Smooth,228,0.960166428784069,0.8157823849526786,0.960166428784069,0.9587474954859704,0.7866309357157872,0.960166428784069,0.960166428784069,0.7994663789612153,0.960166428784069,0.9591662985709788,0.9776923502236274,516.4265723228455
dblp,MLP,229,0.9612114208169016,0.8157441094026157,0.9612114208169016,0.9599889556349631,0.7904960830053976,0.9612114208169016,0.9612114208169016,0.8014968997322994,0.9612114208169016,0.9603330803744407,0.9766088118704925,561.7207646369934
dblp,GCN+Smooth,229,0.9606452738792424,0.8169040012963894,0.9606452738792424,0.9593799929934634,0.7877612429500831,0.9606452738792424,0.9606452738792424,0.8000465451546797,0.9606452738792424,0.9596440062501106,0.979195749665109,481.0517463684082
