dataset,model,seed,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,rand_score,time_s
mcc,MLP,220,0.8243271985239651,0.7570882812937829,0.8243271985239651,0.8246050267606253,0.5719366755879711,0.8243271985239651,0.8243271985239651,0.5809087358984087,0.8243271985239651,0.8154388452923127,0.6820213616673794,21.087387084960938
mcc,GCN+Smooth,220,0.8230883985825268,0.7265920530810746,0.8230883985825268,0.8227189737863845,0.543582732067338,0.8230883985825268,0.8230883985825268,0.563310637904084,0.8230883985825268,0.8132361607453575,0.6956719551409816,19.977599620819092
mcc,MLP,221,0.8278246487515815,0.7102428871128875,0.8278246487515815,0.8251361105170167,0.5573864380014123,0.8278246487515815,0.8278246487515815,0.5662101206156868,0.8278246487515815,0.8187411582079757,0.6864829109076896,20.87187433242798
mcc,GCN+Smooth,221,0.823681974594249,0.7283292044752009,0.823681974594249,0.821567793495102,0.5569955236852504,0.823681974594249,0.823681974594249,0.5724609573856491,0.823681974594249,0.8138116256732625,0.6854994817826676,19.922744274139404
mcc,MLP,222,0.8243884193545903,0.7369084404673935,0.8243884193545903,0.8242599708053943,0.5697726760179074,0.8243884193545903,0.8243884193545903,0.5879155525759138,0.8243884193545903,0.8154913086425135,0.6985321765852739,21.50801658630371
mcc,GCN+Smooth,222,0.8267803775640379,0.716526455386616,0.8267803775640379,0.8254596325381202,0.5584942499089545,0.8267803775640379,0.8267803775640379,0.5716319607186413,0.8267803775640379,0.8176423119669761,0.7003493437121756,20.332754135131836
mcc,MLP,223,0.8203542028750855,0.7273921009592847,0.8203542028750855,0.8186389170181655,0.5655344823659951,0.8203542028750855,0.8203542028750855,0.584874921255402,0.8203542028750855,0.8121473561742245,0.6971198712791633,21.376138925552368
mcc,GCN+Smooth,223,0.8241073223133925,0.7040507629208423,0.8241073223133925,0.821919514515625,0.5464048210918045,0.8241073223133925,0.8241073223133925,0.5623193866597359,0.8241073223133925,0.8146408780700557,0.7177677275022408,20.27223563194275
mcc,MLP,224,0.8069100865683048,0.6921160893531161,0.8069100865683048,0.8045105231658275,0.5427010892162776,0.8069100865683048,0.8069100865683048,0.5535751786120408,0.8069100865683048,0.7975714220748779,0.6804069395219837,21.168119192123413
mcc,GCN+Smooth,224,0.8084900180191065,0.701493072507654,0.8084900180191065,0.8069832357025911,0.5364973607809828,0.8084900180191065,0.8084900180191065,0.5495693704753869,0.8084900180191065,0.798326296941264,0.6739632633437942,20.501359701156616
mcc,MLP,225,0.8172960731974946,0.7655988137931278,0.8172960731974946,0.8182147971002319,0.5721203996363109,0.8172960731974946,0.8172960731974946,0.5942176554948863,0.8172960731974946,0.8091503504858909,0.6934118511109661,21.4297456741333
mcc,GCN+Smooth,225,0.8192106412965697,0.7380437183354467,0.8192106412965697,0.8187506495880528,0.5640838104586569,0.8192106412965697,0.8192106412965697,0.5805767491952709,0.8192106412965697,0.8103352425622556,0.7139642780350746,20.35067582130432
mcc,MLP,226,0.816913686753503,0.7147515620400594,0.816913686753503,0.8165898054864545,0.5603668493330352,0.816913686753503,0.816913686753503,0.5772956792279007,0.816913686753503,0.8092616077200787,0.7017696699112628,21.17330765724182
mcc,GCN+Smooth,226,0.8199225435871622,0.7027131405075706,0.8199225435871622,0.8176448813757371,0.5471091784958765,0.8199225435871622,0.8199225435871622,0.5529954421494916,0.8199225435871622,0.8106129588067378,0.7055075993129092,20.19509744644165
mcc,MLP,227,0.8237803086125525,0.7168621221630241,0.8237803086125525,0.8204031352050555,0.5510741265305998,0.8237803086125525,0.8237803086125525,0.5638432370991482,0.8237803086125525,0.8139781107372634,0.6926237258980621,21.098270893096924
mcc,GCN+Smooth,227,0.8259899125644803,0.6559642634695526,0.8259899125644803,0.8173053182685383,0.5450746780333309,0.8259899125644803,0.8259899125644803,0.5477344461081627,0.8259899125644803,0.8149991019441797,0.6861392204755036,20.396288633346558
mcc,MLP,228,0.8275488863937587,0.7257227281370695,0.8275488863937587,0.8261883228776776,0.5715321618220557,0.8275488863937587,0.8275488863937587,0.5872292677082294,0.8275488863937587,0.8192090075272007,0.7158593347973878,21.472903966903687
mcc,GCN+Smooth,228,0.8243751029405653,0.7128763129095906,0.8243751029405653,0.8238841987644769,0.5578074441671534,0.8243751029405653,0.8243751029405653,0.5697152798909665,0.8243751029405653,0.8158837614807701,0.7147093996651519,20.076526165008545
mcc,MLP,229,0.8197887000141099,0.7252095754470491,0.8197887000141099,0.8174129296081835,0.5681966643261873,0.8197887000141099,0.8197887000141099,0.5770835251143269,0.8197887000141099,0.8113776670313432,0.7012069511184555,21.36818552017212
mcc,GCN+Smooth,229,0.8235080453214645,0.6971235421133604,0.8235080453214645,0.8210027020078733,0.5398892238667092,0.8235080453214645,0.8235080453214645,0.5554216295091771,0.8235080453214645,0.813521009602946,0.6893508633331642,20.131113529205322
