dataset,model,seed,accuracy,precision_macro,precision_micro,precision_weighted,recall_macro,recall_micro,recall_weighted,f1_macro,f1_micro,f1_weighted,rand_score,time_s
pubmed,MLP,220,0.8313404436621664,0.8332214474324429,0.8313404436621664,0.8320312713527902,0.8326115274093794,0.8313404436621664,0.8313404436621664,0.8324542432487835,0.8313404436621664,0.8311519456164933,0.6457304768952581,218.26942229270935
pubmed,GCN+Smooth,220,0.8188607732940193,0.8227416045922747,0.8188607732940193,0.8211609845538393,0.8212871655346495,0.8188607732940193,0.8188607732940193,0.8205926143213599,0.8188607732940193,0.8183488431042951,0.6471760283236032,190.32034468650818
pubmed,MLP,221,0.8399071353912698,0.8414758462086885,0.8399071353912698,0.8405494976342107,0.8386441675125499,0.8399071353912698,0.8399071353912698,0.8395683574862294,0.8399071353912698,0.8396743478307691,0.6550510632325063,214.71396374702454
pubmed,GCN+Smooth,221,0.8188234677876365,0.824064957602172,0.8188234677876365,0.821043727763595,0.8200115196601305,0.8188234677876365,0.8188234677876365,0.8206259655595508,0.8188234677876365,0.8183133583197765,0.6110786357944834,192.2227075099945
pubmed,MLP,222,0.8367013881762696,0.837868906390199,0.8367013881762696,0.8370244087479977,0.8374830968673725,0.8367013881762696,0.8367013881762696,0.837405066315157,0.8367013881762696,0.8365586592984079,0.6508229868134201,214.44999933242798
pubmed,GCN+Smooth,222,0.8205539419409893,0.8252048762893015,0.8205539419409893,0.8226390755468224,0.8235295472790923,0.8205539419409893,0.8205539419409893,0.8230590162197184,0.8205539419409893,0.8200749808221973,0.6350275576728625,190.45402002334595
pubmed,MLP,223,0.8320435081104561,0.8339793032764222,0.8320435081104561,0.8327979030149737,0.8338200280461039,0.8320435081104561,0.8320435081104561,0.8333618528607896,0.8320435081104561,0.8318000995816832,0.6495993341283318,214.0920431613922
pubmed,GCN+Smooth,223,0.8153380796790582,0.8200592965769657,0.8153380796790582,0.8177916070865955,0.8170974106846741,0.8153380796790582,0.8153380796790582,0.8170207549293033,0.8153380796790582,0.814767806747984,0.6290498013928947,191.7833547592163
pubmed,MLP,224,0.8342458023338758,0.8356352439154484,0.8342458023338758,0.8347285590375598,0.8365223716354072,0.8342458023338758,0.8342458023338758,0.8357231585750442,0.8342458023338758,0.8340834298314055,0.6602079163519451,214.9108636379242
pubmed,GCN+Smooth,224,0.8147849712188672,0.8177009958604406,0.8147849712188672,0.8180009926738115,0.8167987568861689,0.8147849712188672,0.8147849712188672,0.8151730521780107,0.8147849712188672,0.8139728385313133,0.5757323548581674,191.4299030303955
pubmed,MLP,225,0.8407676866357725,0.8423800865579057,0.8407676866357725,0.8412220789478472,0.8400216435171661,0.8407676866357725,0.8407676866357725,0.8408439790919382,0.8407676866357725,0.8405992397276109,0.6391453815864538,216.49349570274353
pubmed,GCN+Smooth,225,0.8218187246484339,0.8248800460576882,0.8218187246484339,0.8237984594012581,0.8236245827683126,0.8218187246484339,0.8218187246484339,0.8229734754618776,0.8218187246484339,0.8213317210122706,0.655266872050017,191.4811601638794
pubmed,MLP,226,0.8355976225834528,0.8367787743335182,0.8355976225834528,0.8360500709249602,0.8362627274616528,0.8355976225834528,0.8355976225834528,0.8361574689068735,0.8355976225834528,0.8354063038118754,0.6437501099062589,213.28732895851135
pubmed,GCN+Smooth,226,0.8075578170424941,0.8145163857103217,0.8075578170424941,0.8110362900727796,0.8122602494283925,0.8075578170424941,0.8075578170424941,0.8111130713201116,0.8075578170424941,0.8066149000457504,0.6415774464505579,191.76944780349731
pubmed,MLP,227,0.83136056159911,0.8334422508587351,0.83136056159911,0.8317657820920995,0.8327353183014068,0.83136056159911,0.83136056159911,0.83276921964974,0.83136056159911,0.8312024081627862,0.6462722642041409,215.14525198936462
pubmed,GCN+Smooth,227,0.8154952802363559,0.8215822639162478,0.8154952802363559,0.8185411144340472,0.8169601134203731,0.8154952802363559,0.8154952802363559,0.8174255679620077,0.8154952802363559,0.8148776502678913,0.6208949931240999,193.01704263687134
pubmed,MLP,228,0.8298609967767994,0.831701650811471,0.8298609967767994,0.8303706856690675,0.8306958021376072,0.8298609967767994,0.8298609967767994,0.8307830283159638,0.8298609967767994,0.8296396609407282,0.6557494429726995,215.62695574760437
pubmed,GCN+Smooth,228,0.8097021651714331,0.8146075105900755,0.8097021651714331,0.8122127406085514,0.8132063225681326,0.8097021651714331,0.8097021651714331,0.8121989543776956,0.8097021651714331,0.8089685938132709,0.62597372263666,192.77356123924255
pubmed,MLP,229,0.8244824242315513,0.8284068508803556,0.8244824242315513,0.825253036124506,0.8271368059759381,0.8244824242315513,0.8244824242315513,0.8272258278289686,0.8244824242315513,0.8242335064054489,0.650710648082623,216.93008995056152
pubmed,GCN+Smooth,229,0.8202794372853438,0.8244807120578055,0.8202794372853438,0.8219037256766001,0.8221702401737729,0.8202794372853438,0.8202794372853438,0.8222586255806613,0.8202794372853438,0.819855616708593,0.6460668870276226,193.31107187271118
